,session_duration,session_duration,session_duration,social_media_total_bytes,google_total_bytes,email_total_bytes,youtube_total_bytes,netflix_total_bytes,gaming_total_bytes
,mean,median,count,sum,sum,sum,sum,sum,sum
duration_decile,,,,,,,,,
1,20.07,20.27,10688,20145249229.0,85492654615.0,24956075928.0,248917959454.0,249622276578.0,4720169606242.0
2,40.23,39.29,10684,22465851840.0,95877650377.0,27675216674.0,276599178692.0,278501418870.0,5306295060923.0
3,71.15,71.44,10744,24124293353.0,103755868741.0,29671925703.0,298846191189.0,299861988977.0,5670961959229.0
4,86.37,86.4,12082,22165245206.0,94567542591.0,27343199981.0,276549918639.0,273811549154.0,5239243549418.0
5,94.27,94.35,9230,18858447602.0,81262148110.0,23438808517.0,233027345454.0,234940216608.0,4466555501877.0
6,117.43,117.62,10686,23592924739.0,100730180492.0,29227708728.0,293408935851.0,292988890349.0,5578989400705.0
7,147.78,147.63,10686,22651115222.0,96228541819.0,27819595130.0,279557844764.0,276574514227.0,5348714822049.0
8,174.94,172.8,10686,29126480776.0,123401109063.0,35808135594.0,358010589348.0,358255589596.0,6786124726681.0
9,232.73,233.15,10684,34255635409.0,146313014539.0,42284955591.0,424288510116.0,425168972170.0,8077319993953.0
10,477.87,369.76,10686,54880298716.0,235224701873.0,68242103317.0,682997839860.0,680334620709.0,12894542788135.0
